ID,LID,TLID,SignID,LinkID
251,19812,0,0,18505
252,19813,0,0,18474
253,19814,0,0,18369
254,19815,0,0,18408
255,19816,0,0,18290
256,19817,0,0,12454
257,19818,0,0,12168
258,19819,0,0,18230
259,19820,0,0,18112
260,19821,0,0,12334
261,19822,0,0,12484
262,19823,0,0,18029
263,19824,0,0,11638
264,19825,0,0,18424
265,19826,0,0,18534
266,19827,0,0,18534
267,19828,0,0,18543
268,19829,0,0,18691
269,19830,0,0,11615
270,19831,0,0,11680
271,19832,0,0,11539
272,19833,0,0,11539
273,19834,0,0,18257
274,19835,0,0,18239
275,19836,0,0,18239
276,19837,0,0,18278
277,19838,0,0,18259
278,19839,0,0,18259
279,19840,0,0,12704
280,19841,0,0,18551
281,19842,0,0,18515
282,19843,0,0,18484
283,19844,0,0,18472
284,19845,0,0,18495
285,19846,0,0,18454
286,19847,0,0,18441
287,19848,0,0,18442
288,19849,0,0,11850
289,19850,0,0,18561
290,19851,0,0,18571
291,19852,0,0,18657
292,19853,0,0,18648
293,19854,0,0,18598
294,19855,0,0,18638
295,19856,0,0,18675
296,19857,0,0,12049
297,19858,0,0,18300
298,19859,0,0,18310
299,19860,0,0,18396
300,19861,0,0,18340
301,19862,0,0,11648
302,19863,0,0,18417
303,19864,0,0,11948
304,19865,0,0,12242
305,19866,0,0,18161
306,19867,0,0,18152
307,19868,0,0,18198
308,19869,0,0,18184
309,19870,0,0,12155
310,19871,0,0,11318
311,19872,0,0,11303
312,19873,0,0,11957
313,19874,0,0,11281
314,19875,0,0,11247
315,19876,0,0,11243
316,19877,0,0,12395
317,19878,0,0,18073
318,19879,0,0,18102
319,19880,0,0,18120
320,19881,0,0,11451
321,19882,0,0,18007
322,19883,0,0,17989
323,19884,0,0,18028
324,19885,0,0,18008
325,19886,0,0,11388
326,19887,0,0,11383
327,19888,0,0,11369
328,19889,0,0,11370
329,19890,0,0,11368
330,19891,0,0,11104
331,19892,0,0,11696
332,19893,0,0,18432
333,19894,0,0,11857
334,19895,0,0,18248
335,19896,0,0,18130
336,19897,0,0,12265
337,19898,0,0,17998
338,19899,0,0,11856
339,19900,0,0,18453
340,19901,0,0,12056
341,19902,0,0,18247
342,19903,0,0,18171
343,19904,0,0,12402
344,19905,0,0,17997
