ID,LID,Height,Width,Dir,LinkID
245,11106,0.15,0.15,1,16229
246,11107,0.15,0.15,1,16230
247,11108,0.15,0.15,1,16231
248,11109,0.15,0.15,1,16232
249,11110,0.15,0.15,1,16233
250,11111,0.15,0.15,1,16197
251,11112,0.15,0.15,1,16199
252,11113,0.15,0.15,1,16201
253,11114,0.15,0.15,1,16202
254,11115,0.15,0.15,1,16204
255,11116,0.15,0.15,1,16204
256,11117,0.15,0.15,1,16192
257,11118,0.15,0.15,1,16193
258,11119,0.15,0.15,1,16194
259,11120,0.15,0.15,1,16188
260,11121,0.15,0.15,1,16184
261,11122,0.15,0.15,1,16185
262,11123,0.15,0.15,1,16174
263,11124,0.15,0.15,1,16175
264,11125,0.15,0.15,1,16177
265,11126,0.15,0.15,1,16178
266,11127,0.15,0.15,1,16180
267,11128,0.15,0.15,1,16181
268,11129,0.15,0.15,1,16171
269,11130,0.15,0.15,1,16172
270,11131,0.15,0.15,1,16168
271,11132,0.15,0.15,1,16169
272,11133,0.15,0.15,1,16161
273,11134,0.15,0.15,1,16162
274,11135,0.15,0.15,1,16164
275,11136,0.15,0.15,1,16148
276,11137,0.15,0.15,1,16149
277,11138,0.15,0.15,1,16150
278,11139,0.15,0.15,1,16151
279,11140,0.15,0.15,1,16152
280,11141,0.15,0.15,1,16154
281,11142,0.15,0.15,1,16156
282,11143,0.15,0.15,1,16158
283,11144,0.15,0.15,1,16159
284,11145,0.15,0.15,1,16112
285,11146,0.15,0.15,1,16115
286,11147,0.15,0.15,1,16120
287,11148,0.15,0.15,1,16122
288,11149,0.15,0.15,1,16126
289,11150,0.15,0.15,1,16127
290,11151,0.15,0.15,1,16136
291,11152,0.15,0.15,1,16137
292,11153,0.15,0.15,1,16139
293,11154,0.15,0.15,1,16141
294,11155,0.15,0.15,1,16141
295,11156,0.15,0.15,1,16142
296,11157,0.15,0.15,1,15754
297,11158,0.15,0.15,1,12467
298,11159,0.15,0.15,1,12468
299,11160,0.15,0.15,1,12468
300,11161,0.15,0.15,1,18128
301,11162,0.15,0.15,1,12475
302,11163,0.15,0.15,1,12476
303,11164,0.15,0.15,1,12477
304,11165,0.15,0.15,1,12479
305,11166,0.15,0.15,1,12480
