ID,AID,Type,LinkID
493,6493,1,8005
494,6494,1,8025
495,6495,1,8041
496,6496,1,8072
497,6497,1,8075
498,6498,1,8086
499,6499,1,1824
500,6500,1,1836
501,6501,1,1850
502,6502,1,1856
503,6503,1,1863
504,6504,1,1871
505,6505,1,1885
506,6506,1,1897
507,6507,1,1904
508,6508,1,6104
509,6509,1,6093
510,6510,1,6087
511,6511,1,6082
512,6512,1,1938
513,6513,1,1927
514,6514,1,1918
515,6515,1,5959
516,6516,1,5970
517,6517,1,2053
518,6518,1,5979
519,6519,1,2039
520,6520,1,2030
521,6521,1,5991
522,6522,1,2021
523,6523,1,2013
524,6524,1,6010
525,6525,1,6021
526,6526,1,6067
527,6527,1,6072
528,6528,1,6063
529,6529,1,6054
530,6530,1,6052
531,6531,1,6041
532,6532,1,1982
533,6533,1,1976
534,6534,1,3865
535,6535,1,3859
536,6536,1,3854
537,6537,1,4163
538,6538,1,3738
539,6539,1,3740
540,6540,1,3746
541,6541,1,3752
542,6542,1,3761
543,6543,1,3766
544,6544,1,3776
545,6545,1,3781
546,6546,1,3797
547,6547,1,3803
548,6548,1,3789
549,6549,1,3837
550,6550,1,3828
551,6551,1,3822
552,6552,1,3815
553,6553,1,3812
554,6554,1,4403
555,6555,1,4331
556,6556,1,4283
557,6557,1,4243
558,6558,1,10371
559,6559,1,11435
560,6560,1,11434
561,6561,1,6735
562,6562,1,6661
563,6563,1,6620
564,6564,1,7617
565,6565,1,7596
566,6566,1,7597
567,6567,1,6839
568,6568,1,6806
569,6569,1,11553
570,6570,1,6776
571,6571,1,6773
572,6572,1,18738
573,6573,1,18742
574,6574,1,6762
575,6575,1,6759
576,6576,1,11416
577,6577,1,12504
578,6578,1,18071
579,6579,1,6
580,6580,1,3180
581,6581,1,3175
582,6582,1,3178
583,6583,1,1312
584,6584,1,1307
585,6585,1,6192
586,6586,1,6185
587,6587,1,6173
588,6588,1,6160
589,6589,1,6150
590,6590,1,6140
591,6591,1,6131
592,6592,1,6123
593,6593,1,6116
594,6594,1,960
595,6595,1,943
596,6596,1,938
597,6597,1,367
598,6598,1,370
599,6599,1,372
600,6600,1,993
601,6601,1,9202
602,6602,1,8989
603,6603,1,10677
604,6604,1,7481
605,6605,1,9309
606,6606,1,9311
607,6607,1,1994
608,6608,1,1995
609,6609,1,1990
610,6610,1,6028
611,6611,1,6035
612,6612,1,4505
613,6613,1,4510
614,6614,1,3517
615,6615,1,3512
616,6616,1,5945
617,6617,1,5947
618,6618,1,1260
619,6619,1,1261
620,6620,1,3022
621,6621,1,3030
622,6622,1,2966
623,6623,1,5053
624,6624,1,5051
625,6625,1,2897
626,6626,1,16342
627,6627,1,16337
628,6628,1,16336
629,6629,1,16335
630,6630,1,2558
631,6631,1,875
632,6632,1,7963
633,6633,1,7934
634,6634,1,7925
635,6635,1,7919
636,6636,1,7908
637,6637,1,7902
638,6638,1,7339
639,6639,1,4266
640,6640,1,2641
641,6641,1,2630
642,6642,1,2623
643,6643,1,2616
644,6644,1,2468
645,6645,1,2443
646,6646,1,6581
647,6647,1,6489
648,6648,1,6546
649,6649,1,6562
650,6650,1,1191
651,6651,1,1195
652,6652,1,111
653,6653,1,108
654,6654,1,104
655,6655,1,95
656,6656,1,1210
657,6657,1,1200
658,6658,1,6329
659,6659,1,4020
660,6660,1,4024
661,6661,1,4027
662,6662,1,4030
663,6663,1,3998
664,6664,1,4004
665,6665,1,4040
666,6666,1,4049
667,6667,1,4057
668,6668,1,3978
669,6669,1,4072
670,6670,1,4067
671,6671,1,3964
672,6672,1,3952
673,6673,1,3954
674,6674,1,4087
675,6675,1,4090
676,6676,1,3943
677,6677,1,3939
678,6678,1,4098
679,6679,1,4105
680,6680,1,3926
681,6681,1,4116
682,6682,1,3909
683,6683,1,4133
684,6684,1,3894
685,6685,1,3919
686,6686,1,3886
687,6687,1,4142
688,6688,1,3882
689,6689,1,4151
690,6690,1,3871
691,6691,1,3877
692,6692,1,9794
693,6693,1,9801
694,6694,1,9805
695,6695,1,9814
696,6696,1,8547
697,6697,1,8535
698,6698,1,8526
699,6699,1,8522
700,6700,1,8509
701,6701,1,8492
702,6702,1,8480
703,6703,1,8474
704,6704,1,8460
705,6705,1,10307
706,6706,1,8103
707,6707,1,8097
708,6708,1,8110
709,6709,1,10293
710,6710,1,8119
711,6711,1,8127
712,6712,1,10282
713,6713,1,8438
714,6714,1,1204
715,6715,1,1204
716,6716,1,8265
717,6717,1,8249
