ID,AID,Type,LinkID
126,3387,4,1258
127,3388,4,1258
128,3389,4,1258
129,3390,4,1258
130,3391,4,1259
131,3392,4,1259
132,3393,4,1702
133,3394,4,1702
134,3395,4,1260
135,3396,4,1260
136,3397,4,1261
137,3398,4,1703
138,3399,4,1261
139,3400,4,1261
140,3401,4,1262
141,3402,4,1704
142,3403,4,1262
143,3404,4,1262
144,3405,4,1259
145,3406,4,1701
146,3407,4,1695
147,3408,4,1258
148,3409,4,1258
149,3410,4,1258
150,3411,4,1258
151,3412,4,1258
152,3413,4,1258
153,3414,4,994
154,3415,4,994
155,3416,4,994
156,3417,4,994
157,3418,4,994
158,3419,4,994
159,3420,4,1097
160,3421,4,1097
161,3422,4,1097
162,3423,4,1097
163,3424,4,1097
164,3425,4,1097
165,3426,4,1018
166,3427,4,1018
167,3428,4,1018
168,3429,4,1018
169,3430,4,1018
170,3431,4,1018
171,3432,4,965
172,3433,4,965
173,3434,4,965
174,3435,4,965
175,3436,4,965
176,3437,4,965
177,3438,4,940
178,3439,4,940
179,3440,4,940
180,3441,4,940
181,3442,4,940
182,3443,4,940
183,3444,4,1202
184,3445,4,1202
185,3446,4,1202
186,3447,4,1202
187,3448,4,1202
188,3449,4,1203
189,3450,4,1195
190,3451,4,1195
191,3452,4,1195
192,3453,4,1195
193,3454,4,1195
194,3455,4,1195
195,3456,4,1103
196,3457,4,1103
197,3458,4,1103
198,3459,4,1103
199,3460,4,1103
200,3461,4,1103
201,3462,4,3178
202,3463,4,3179
203,3464,4,3179
204,3465,4,3179
205,3466,4,3178
206,3467,4,3178
207,3468,4,1301
208,3469,4,1301
209,3470,4,1301
210,3471,4,1301
211,3472,4,1301
212,3473,4,1301
213,3474,4,1156
214,3475,4,1156
215,3476,4,1156
216,3477,4,1156
217,3478,4,1156
218,3479,4,1156
219,3480,4,4055
220,3481,4,4055
221,3482,4,4063
222,3483,4,4063
223,3484,4,3931
224,3485,4,3931
225,3486,4,3923
226,3487,4,3923
227,3488,4,6152
228,3489,4,6152
229,3490,4,6160
230,3491,4,6160
231,3492,4,1830
232,3493,4,1830
233,3494,4,1823
234,3495,4,1823
235,3496,4,3627
236,3497,4,3627
237,3498,4,3619
238,3499,4,3619
239,3500,4,3416
240,3501,4,3413
241,3502,4,3418
242,3503,4,3421
243,3504,4,3423
244,3505,4,3424
245,3506,4,3425
246,3507,4,3427
247,3508,4,3428
248,3509,4,3089
249,3510,4,3089
250,3511,4,3042
251,3512,4,3041
252,3513,4,3040
253,3514,4,3039
254,3515,4,3038
255,3516,4,3037
256,3517,4,3036
257,3518,4,3035
258,3519,4,3034
259,3520,4,3033
260,3521,4,3032
261,3522,4,3031
262,3523,4,3030
263,3524,4,3082
264,3525,4,3082
265,3526,4,2883
266,3527,4,2883
267,3528,4,2875
268,3529,4,2875
269,3530,4,2744
270,3531,4,2743
271,3532,4,2742
272,3533,4,2741
273,3534,4,2740
274,3535,4,2739
275,3536,4,2738
276,3537,4,2737
277,3538,4,2736
278,3539,4,2735
279,3540,4,2734
280,3541,4,2733
281,3542,4,2732
282,3543,4,2731
283,3544,4,2730
284,3545,4,2729
285,3546,4,2728
286,3547,4,2727
287,3548,4,2726
288,3549,4,2725
289,3550,4,2627
290,3551,4,2627
291,3552,4,2620
292,3553,4,2620
293,3554,4,2570
294,3555,4,2569
295,3556,4,2568
296,3557,4,2567
297,3558,4,2566
298,3559,4,2565
299,3560,4,2564
300,3561,4,2563
301,3562,4,2562
302,3563,4,2561
303,3564,4,2560
304,3565,4,2558
305,3566,4,2555
306,3567,4,2552
307,3568,4,2550
308,3569,4,2547
309,3570,4,2545
310,3571,4,5545
311,3572,4,5544
312,3573,4,5543
313,3574,4,5542
314,3575,4,5540
315,3576,4,5539
316,3577,4,5538
317,3578,4,5537
318,3579,4,5536
319,3580,4,5534
320,3581,4,5531
321,3582,4,5529
322,3583,4,5526
323,3584,4,5523
324,3585,4,5520
325,3586,4,5444
326,3587,4,5443
327,3588,4,5442
328,3589,4,5441
329,3590,4,5440
330,3591,4,5439
331,3592,4,5438
332,3593,4,5437
333,3594,4,5436
334,3595,4,5435
335,3596,4,5434
336,3597,4,5433
337,3598,4,5432
338,3599,4,5431
339,3600,4,5430
340,3601,4,5428
341,3602,4,5426
342,3603,4,5427
343,3604,4,5424
344,3605,4,5425
345,3606,4,5423
346,3607,4,5422
347,3608,4,5358
348,3609,4,5358
349,3610,4,5350
350,3611,4,5350
351,3612,4,5238
352,3613,4,5240
353,3614,4,5243
354,3615,4,5245
355,3616,4,5248
356,3617,4,5250
357,3618,4,5253
358,3619,4,5255
359,3620,4,5258
360,3621,4,5261
361,3622,4,5263
362,3623,4,5264
363,3624,4,5265
364,3625,4,5266
365,3626,4,5267
366,3627,4,5268
367,3628,4,5269
368,3629,4,5270
369,3630,4,5271
370,3631,4,5272
371,3632,4,5273
372,3633,4,5274
