ID,AID,Type,LinkID
337,337,2,4088
338,338,2,4100
339,339,2,4105
340,340,2,4113
341,341,2,4120
342,342,2,4145
343,343,2,4130
344,344,2,4125
345,345,2,4163
346,346,2,4189
347,347,2,4218
348,348,2,4257
349,349,2,4267
350,350,2,4285
351,351,2,4292
352,352,2,4306
353,353,2,4320
354,354,2,4348
355,355,2,4356
356,356,2,4370
357,357,2,4401
358,358,2,4417
359,359,2,16815
360,360,2,4446
361,361,2,4497
362,362,2,4502
363,363,2,4555
364,364,2,4600
365,365,2,4621
366,366,2,4634
367,367,2,4724
368,368,2,4751
369,369,2,4776
370,370,2,4789
371,371,2,5185
372,372,2,16770
373,373,2,5210
374,374,2,5220
375,375,2,5231
376,376,2,5243
377,377,2,5250
378,378,2,5263
379,379,2,5276
380,380,2,5282
381,381,2,5297
382,382,2,5312
383,383,2,5323
384,384,2,5344
385,385,2,5354
386,386,2,5365
387,387,2,5372
388,388,2,5383
389,389,2,5392
390,390,2,5401
391,391,2,5410
392,392,2,5419
393,393,2,5429
394,394,2,5440
395,395,2,5449
396,396,2,5459
397,397,2,5469
398,398,2,5486
399,399,2,5495
400,400,2,5502
401,401,2,5517
402,402,2,5519
403,403,2,5529
404,404,2,5532
405,405,2,5538
406,406,2,5549
407,407,2,5559
408,408,2,5570
409,409,2,5579
410,410,2,4470
411,411,2,5604
412,412,2,5705
413,413,2,5710
414,414,2,6330
415,415,2,5857
416,416,2,5866
417,417,2,5872
418,418,2,5882
419,419,2,5893
420,420,2,5903
421,421,2,5916
422,422,2,5926
423,423,2,3952
424,424,2,2600
425,425,2,3471
426,426,2,3840
427,427,2,16340
428,428,2,16335
429,429,2,16321
430,430,2,16368
431,431,2,9968
432,432,2,9931
433,433,2,9925
434,434,2,9855
435,435,2,9853
436,436,2,9838
437,437,2,9835
438,438,2,9833
439,439,2,9830
440,440,2,9827
441,441,2,9810
442,442,2,9792
443,443,2,8625
444,444,2,8597
445,445,2,8564
446,446,2,8562
447,447,2,8521
448,448,2,8520
449,449,2,8519
450,450,2,8478
451,451,2,8477
452,452,2,8430
453,453,2,10943
454,454,2,10945
455,455,2,9928
456,456,2,9824
457,457,2,9840
458,458,2,9645
459,459,2,9655
460,460,2,9666
461,461,2,9671
462,462,2,9676
463,463,2,9684
464,464,2,10906
465,465,2,10905
466,466,2,10898
467,467,2,10877
468,468,2,10857
469,469,2,10846
470,470,2,10835
471,471,2,10920
472,472,2,10916
473,473,2,10933
474,474,2,9725
475,475,2,9736
476,476,2,9756
477,477,2,9748
478,478,2,10827
479,479,2,10867
480,480,2,9984
481,481,2,9999
482,482,2,10015
483,483,2,10045
484,484,2,10060
485,485,2,10075
486,486,2,10083
487,487,2,10091
488,488,2,10106
489,489,2,10122
490,490,2,8610
491,491,2,8578
492,492,2,8592
493,493,2,8559
494,494,2,8538
495,495,2,8517
496,496,2,8505
497,497,2,8493
498,498,2,8481
499,499,2,8474
500,500,2,8466
501,501,2,8449
502,502,2,8441
503,503,2,8435
504,504,2,8433
505,505,2,8332
506,506,2,8328
507,507,2,8311
508,508,2,8296
509,509,2,8280
510,510,2,10148
511,511,2,10154
512,512,2,10158
513,513,2,10172
514,514,2,10184
515,515,2,10198
516,516,2,10203
517,517,2,10217
518,518,2,10231
519,519,2,10261
520,520,2,10275
521,521,2,10281
522,522,2,10295
523,523,2,10308
524,524,2,10324
525,525,2,10336
526,526,2,10340
527,527,2,10344
528,528,2,10353
529,529,2,10358
530,530,2,10363
531,531,2,10368
532,532,2,10373
533,533,2,10378
534,534,2,10383
535,535,2,10388
536,536,2,10394
537,537,2,10399
538,538,2,10405
539,539,2,10410
540,540,2,10415
541,541,2,10420
542,542,2,10423
543,543,2,10429
544,544,2,10440
545,545,2,10455
546,546,2,10467
547,547,2,7332
548,548,2,7337
549,549,2,16411
550,550,2,10348
551,551,2,10246
552,552,2,8457
553,553,2,10887
554,554,2,10912
555,555,2,8425
556,556,2,8411
557,557,2,8398
558,558,2,8358
559,559,2,8343
560,560,2,8268
561,561,2,8262
562,562,2,8249
563,563,2,8235
564,564,2,8215
565,565,2,8201
566,566,2,8228
567,567,2,8196
568,568,2,8191
569,569,2,8185
570,570,2,8172
571,571,2,8156
572,572,2,8125
573,573,2,8087
574,574,2,8072
575,575,2,8057
576,576,2,8043
577,577,2,8033
578,578,2,8026
579,579,2,8015
580,580,2,8002
581,581,2,7992
582,582,2,7981
583,583,2,7974
584,584,2,7959
585,585,2,7943
586,586,2,7925
587,587,2,7914
588,588,2,7901
589,589,2,7900
590,590,2,9190
591,591,2,8995
