ID,AID,LinkID
137,8245,1123
138,8246,1125
139,8247,1126
140,8248,1122
141,8249,1123
142,8250,1114
143,8251,1115
144,8252,1117
145,8253,1118
146,8254,1109
147,8255,1112
148,8256,1113
149,8257,1114
150,8258,1188
151,8259,1189
152,8260,1188
153,8261,1184
154,8262,1177
155,8263,1178
156,8264,1178
157,8265,1176
158,8266,1176
159,8267,1167
160,8268,1169
161,8269,1170
162,8270,1171
163,8271,1175
164,8272,1166
165,8273,1164
166,8274,1162
167,8275,1161
168,8276,1159
169,8277,1252
170,8278,1255
171,8279,1249
172,8280,1250
173,8281,1238
174,8282,1241
175,8283,1242
176,8284,1243
177,8285,1244
178,8286,1247
179,8287,1236
180,8288,1231
181,8289,1229
182,8290,1229
183,8291,1226
184,8292,1224
185,8293,1219
186,8294,1220
187,8295,1221
188,8296,1223
189,8297,1297
190,8298,1295
191,8299,1296
192,8300,1286
193,8301,1288
194,8302,1289
195,8303,1292
196,8304,1284
197,8305,1285
198,8306,1272
199,8307,1273
200,8308,1275
201,8309,1283
202,8310,1271
203,8311,1270
204,8312,371
205,8313,409
206,8314,407
207,8315,406
208,8316,404
209,8317,403
210,8318,394
211,8319,395
212,8320,396
213,8321,398
214,8322,401
215,8323,402
216,8324,388
217,8325,390
218,8326,391
219,8327,392
220,8328,393
221,8329,379
222,8330,380
223,8331,382
224,8332,383
225,8333,385
226,8334,386
227,8335,375
228,8336,376
229,8337,378
230,8338,349
231,8339,355
232,8340,351
233,8341,353
234,8342,364
235,8343,362
236,8344,361
237,8345,359
238,8346,357
239,8347,358
240,8348,365
241,8349,338
242,8350,303
243,8351,302
244,8352,306
245,8353,303
246,8354,305
247,8355,313
248,8356,312
249,8357,310
250,8358,307
251,8359,308
252,8360,315
253,8361,285
254,8362,286
255,8363,287
256,8364,289
257,8365,291
258,8366,278
259,8367,279
260,8368,284
261,8369,269
262,8370,266
263,8371,226
264,8372,238
265,8373,234
266,8374,232
267,8375,231
268,8376,231
269,8377,226
270,8378,230
271,8379,260
272,8380,257
273,8381,252
274,8382,245
275,8383,252
276,8384,253
277,8385,201
278,8386,189
279,8387,190
280,8388,191
281,8389,193
282,8390,199
283,8391,183
284,8392,184
285,8393,187
286,8394,174
287,8395,176
288,8396,178
289,8397,179
290,8398,164
291,8399,165
292,8400,166
293,8401,167
294,8402,168
295,8403,169
296,8404,157
297,8405,158
298,8406,159
299,8407,163
300,8408,151
301,8409,149
302,8410,143
303,8411,146
304,8412,132
305,8413,132
306,8414,102
307,8415,38
308,8416,34
309,8417,69
310,8418,68
311,8419,67
312,8420,66
